Топоним,Топоним (оригинал/транскр),Тип,Источник ,Главы в источниках,Исторические памятники и параллели,Комментарии,"Топогеографичский указатель КЦ, стр."
Antioch,ანტიოქიი [ant'iokii],C,Vita Iohann. Zedazn. // ცხორებაჲ და მოქალაქობაჲ წმიდისა მამისა ჩუენისა იოვანე ზედაძნელისაჲ და მოწაფეთა მისთაჲ. რომელთა განანათლეს ქუეყანაჲ ესე ჩრდილოეთისაჲ ,1, ,,-
Babylon,ბაბილონს [babilons],,Vita Iohann. Zedazn.// ცხორებაჲ და მოქალაქობაჲ წმიდისა მამისა ჩუენისა იოვანე ზედაძნელისაჲ და მოწაფეთა მისთაჲ. რომელთა განანათლეს ქუეყანაჲ ესე ჩრდილოეთისაჲ ,12,"1. Coll.Hag.I, Vita_Shio_Evagr., XII, 223, 27 (I_17r)",,-
Babylon,ბაბილონს [babilons],,Vita et Passio Konstanti-Kaxay // კოსტანტი კახის მარტვილობა,5,"1. Coll.Hag.I, Vita_Shio_Evagr., XII, 223, 27 (I_17r)",Babylon,-
Babylon,ბაბილოვნით [babilovnit],,Mokcevay kart‛lisay // მოქცევაჲ ქართლისაჲ,12,,,-
Babylon ,ბაბილოვნისა [babilovnisa],,"Martyr. S. Habo // წამებაჲ წმიდისა და ნეტარისა მოწამისა ქრისტესისა ჰაბოჲსი, 
რომელი იწამა ქართლს შინა, ქალაქსა ტფილისს, ჴელითა 
სარკინოზთაჲთა, გამოთქუმული იოვანე ძისა საბანისი ბრძანებითა ქრისტჱს მიერ სამოელ ქართლისა კათალიკოზისაჲთა/",2,"Mart._Konst._Kax., Vita_Serap.Zarzm.",,-
Baghdad,ბაღდად [baghdad],,"Martyr. S. Habo // წამებაჲ წმიდისა და ნეტარისა მოწამისა ქრისტესისა ჰაბოჲსი, 
რომელი იწამა ქართლს შინა, ქალაქსა ტფილისს, ჴელითა 
სარკინოზთაჲთა, გამოთქუმული იოვანე ძისა საბანისი ბრძანებითა ქრისტჱს მიერ სამოელ ქართლისა კათალიკოზისაჲთა/",2,"Mart._Gobr., Vita_Grig.Xanct.",,-
Baghdad,ბაღდადი [baghdadi],,Mokcevay kart‛lisay // მოქცევაჲ ქართლისაჲ,1,,,-
Baghdad,ბაღდადს [baghdads],,Mokcevay kart‛lisay // მოქცევაჲ ქართლისაჲ,1,,,-
Baghdad,ბალდადისი [baldadisi],,Mokcevay kart‛lisay // მოქცევაჲ ქართლისაჲ,1,,Arm. Բաղդադ,-
Budda,ბუდს [buds],,Mokcevay kart‛lisay // მოქცევაჲ ქართლისაჲ,2,,,
