Аnthroponym in English,Original + transcription,Source ,Century,Historical source,Hagiographical source,Literature,Commentaries
Cyprian,კჳპრიანე [ḳqwpriane],Vita_Serap.Zarzm.,10th,,V,,Serapion's father
Serapion,სერაპიონ [sarapion],Vita_Serap.Zarzm.,10th,,V,,
Amona,ამონა [amona],Vita_Serap.Zarzm.,10th,,V,,One of the builders of the monastery in Opiza
Andria,ანდრია [andria],Vita_Serap.Zarzm.,10th,,V,,One of the builders of the monastery in Opiza
Petre,პეტრე [petre],Vita_Serap.Zarzm.,10th,,V,,One of the builders of the monastery in Opiza
Makari,მაკარი [maḳari],Vita_Serap.Zarzm.,10th,,V,,One of the builders of the monastery in Opiza
Michael Parekheli,მიქაელ (მიქაელ პარეხელი) [mikael],Vita_Serap.Zarzm.,10th,,V,,He built a small prayer house in Parehi
Shio,შიო [šio],Vita_Serap.Zarzm.,10th,,V,,"Wonderworker, Michael's teacher"
Basili and Markelaos,ბასილი და მარკელაოზ [basili da markelaoč],Vita_Serap.Zarzm.,10th,,V,,Michael's disciples
Iovannes,იოვანე [iovane],Vita_Serap.Zarzm.,10th,,V,,Disciple of Michael and classmate of Serapion
George Сhorchaneli,გიორგი ჩორჩანელი [giorgi čorčaneli],Vita_Serap.Zarzm.,10th,,V,,"local prince, who had palaces in the vicinity of Chorchani and Zanavi"
George Matskvereli,"გიორგი მაწყვერელი, შუართკელი [guorgi macqvereli šuartḳeli]",Vita_Serap.Zarzm.,10th,,V,,"Bishop from the district of Shuartkli, brought up in Opiza"
Amaspo and Kurdia,ამასპო და ქურდია [amaspo da kurdia],Vita_Serap.Zarzm.,10th,,V,,The buildres of the monastery in Zanavi
Mirianisi,მირიანისი [mirianisi],Vita_Serap.Zarzm.,10th,,V,,Husband of the Giorgi Čorčaneli's sister
Beshken Pahlaundi,ბეშქენ ბაჰლაუნდი [bešken bahlaundi],Vita_Serap.Zarzm.,10th,,V,,Mirianisi's father
Iovannes,იოვან [iovan],Vita_Serap.Zarzm.,10th,,V,,Mirianisi's grandfather
"Sula, Beshken and Laklaki","სულა, ბეშქენ და ლაკლაკი [sula, bešken da laḳlaḳi]",Vita_Serap.Zarzm.,10th,,V,,Sons of Latavra / Thekla
Latavra / Thekla,ლატავრი /  თეკლა [latavri / t'eḳla],Vita_Serap.Zarzm.,10th,,V,,Sister of George
Georgi,გიორგი [giorgi],Vita_Serap.Zarzm.,10th,,V,,Abbot of the monastery
Michael,მიქაელ [mikael],Vita_Serap.Zarzm.,10th,,V,,The new abbot of the monastery
Pavel,პავლე [pavli],Vita_Serap.Zarzm.,10th,,V,,Abbot of the monastery after Michael
Basili Zarzmeli,ბასილი  [basili],Vita_Serap.Zarzm.,10th,,V,,Serapion's nephew 
Khusrau,ხუასრო [huasro],Mart._Eust,6th,,V,,"Khosrow I Anushirvan, Persian king, who ascended the throne in 531 BC"
Arvand Gushnasp,არვანდ გუშნასპისა [arvand gušnaspisa],Mart._Eust,6th,,V,,satrap in Georgia
Eustace,ევსტათი [evstat'i],Mart._Eust,6th,,V,,
Guaram the First,გუარამ [guaram],Mart._Eust,6th,,V,,Guaram the First of Iberia
Gvirobandak,გჳრობანდაკ [gwrobandaḳ],Mart._Eust,6th,,V,,the name of Eustace before baptism
Bakhdiad,ბახდიად [bahdiad],Mart._Eust,6th,,V,,a prisoner who left the Christian faith
Panagushnasp,პანაგუშნასპ [panagušnasp],Mart._Eust,6th,,V,,a prisoner who left the Christian faith
Gushnak,გუშნაკ [gušnaḳ],Mart._Eust,6th,,V,,"One of the blessed men, who remained in the faith"
Borzo,ბურზო [burzo],Mart._Eust,6th,,V,,"One of the blessed men, who remained in the faith"
Perozak,პეროზაკ [perozaḳ],Mart._Eust,6th,,V,,"One of the blessed men, who remained in the faith"
Zarmil,ზარმილ [zarnil],Mart._Eust,6th,,V,,"One of the blessed men, who remained in the faith"
Stephen,სტეფანე [step'ane],Mart._Eust,6th,,V,,"One of the blessed men, who remained in the faith"
Samuel,სამოელ [samoel],Mart._Eust,6th,,V,,Catholicos Samuel II (581–587)
Gregory,გრიგოლ [grigol],Mart._Eust,6th,,V,,Ruler of Kartli
Arshush,არშუშა [aršuša],Mart._Eust,6th,,V,,Chief Kartli foreman
Mashin Busmir,მაშინ ბუზმირბუზმირ [mašin bučmirbučmir],Mart._Eust,6th,,V,,Satrap of Georgia
